word,frequency
tscswinawkag,2
voucherstext,1
stchoicecouk,1
calloptoutlf,2
infovipclubu,1
tonesyoucouk,2
messagestext,1
wwwbutelecom,1
msgsubscript,1
thedailydraw,1
nytecalpmsgp,1
bannfwflyppm,1
sleepingwith,1
calloptoutqf,1
calloptoutjq,1
visionsmscom,2
landlineonli,1
textsweekend,1
bloombergcom,2
ringtonefrom,1
calloptouthf,1
wwwsmsacunat,2
ltdmtmsgrcvd,1
messagethank,1
questionstd,2
winnersclub,1
hgsuiteland,8
tcsbcmwcnxx,2
mobilesvari,2
simonwatson,1
acsmsreward,1
wwwcomuknet,5
wwwsmsconet,2
jamstercouk,1
wordcollect,1
ringtoneget,2
callfreefon,2
btnationalr,8
calloptoutj,1
smartthough,1
splashmobil,1
oroptouthvd,1
becausethey,1
infotxtcouk,1
smithswitch,1
ringsreturn,1
refundedthi,1
deltomorrow,1
cameravideo,2
lkpoboxhpfl,1
ltdhelpdesk,1
freerington,1
tbspersolvo,1
accordingli,1
stoptxtstop,2
cashbincouk,1
customercar,1
popcornjust,1
wallpaperal,1
chargedpmsg,1
membership,2
wwwdbuknet,2
poboxoxwwq,1
eurodisinc,2
morefrmmob,2
specialcal,8
unsubscrib,19
dointerest,1
upgrdcentr,1
pmtmsgrcvd,3
txtauction,4
yourinclus,1
stereophon,1
pptxnormal,1
videosound,2
wwwldewcom,2
leadership,1
trackmarqu,1
wwwwincouk,2
minstxtmth,1
wwwidewcom,2
prizeswith,1
wwwtklscom,1
jorgeshock,1
bcmsfwcnxx,1
freemsgfav,1
tonesrepli,1
getzedcouk,1
interflora,2
romcapspam,1
freemessag,1
jamsterget,1
profession,1
soundtrack,1
stdtxtrate,1
boxskwpppm,1
httpcareer,2
pushbutton,1
babygoodby,1
webeburnin,1
calloptout,2
prizeawait,1
messagesim,1
stopsmsppm,1
termsappli,1
mustprovid,1
perweeksub,1
macedonia,1
goalsteam,1
subscript,5
incorrect,1
statement,16
netcollex,4
bootydeli,1
todayfrom,2
congratul,14
updatenow,2
bluetooth,9
mobileupd,16
orstoptxt,3
poboxntfp,1
textbuddi,2
alertfrom,1
kbsubject,1
smsservic,1
liverpool,3
videophon,5
videochat,5
doublemin,1
doubletxt,1
speedchat,2
yesterday,3
wwwtxtcom,2
voicemail,3
wwwphbcom,1
jordantxt,2
winppmxag,1
dartboard,1
xxxxxxxxx,3
wquestion,1
drawpleas,1
wordstart,2
optoutdwv,1
stockport,6
freenokia,1
halloween,3
filthyguy,1
poboxtcrw,1
instantli,1
poboxowwq,1
poboxwtgp,2
nikiyunet,1
bloomberg,2
meetgreet,2
strongbuy,2
reschedul,2
increment,2
ringtonek,1
spjanuari,1
ukmobiled,1
australia,1
fgkslpopw,1
freeentri,1
themobhit,1
notxtcouk,2
legitimat,1
wwwgambtv,1
spiderman,1
receivea,2
scotland,1
deliveri,21
tomorrow,10
acoentri,2
guarante,50
password,3
unredeem,16
identifi,16
standard,6
download,7
freephon,8
wwwtcbiz,5
gbpmtmsg,3
question,10
aberdeen,1
valentin,3
motorola,11
discount,9
competit,3
poboxwwq,5
previous,3
teletext,1
maxmonth,1
parisfre,1
textoper,3
callcost,2
stewarts,1
subscrib,9
thousand,1
closingd,1
claimcod,1
perwksub,2
polyphon,5
normpton,6
children,3
discreet,2
champney,1
fixedlin,2
httpdoit,1
libertin,1
bookmark,1
contract,4
somebodi,2
secretli,2
warranti,2
birthday,1
accommod,1
linerent,5
addamsfa,2
exorcist,2
twilight,2
anetwork,1
supplier,1
janinexx,1
mobsicom,1
freesend,2
weekstop,2
bcmwcnxx,2
sullivan,1
telephon,1
transfer,1
poboxntf,1
ocoukgam,2
straight,2
backdoor,1
fraction,1
stopstop,1
themobyo,1
gbpmonth,1
webmobil,1
saturday,7
skillgam,2
winaweek,2
subscrit,1
restrict,1
gamestar,2
quizclub,1
horniest,1
instruct,2
mcflyall,1
cocacola,1
christma,1
midnight,1
pdatenow,1
resubmit,1
stopcost,1
nowrepli,1
shortcod,1
smartcal,1
callback,3
saristar,1
banneduk,1
laidwant,1
golddigg,1
btnation,2
poboxldn,1
manchest,1
mjzgroup,1
challeng,1
landmark,1
explicit,2
dirtiest,1
chitchat,1
randomli,2
minstext,1
frogaxel,1
eyeddont,1
callsppm,1
pmsgrcvd,1
bergkamp,1
sexychat,1
scotsman,2
someonon,1
textcomp,1
efreefon,1
freemsg,12
network,27
jackpot,2
ldnwarw,2
httpwap,1
england,9
rington,32
confirm,1
camcord,15
detroit,1
correct,4
congrat,10
special,21
suprman,3
starwar,3
collect,50
britney,2
contact,61
weekend,13
holiday,32
account,19
landlin,34
sunshin,8
countri,4
sptyron,4
tonight,4
largest,4
hardcor,2
bangbab,1
content,14
partner,5
rreveal,8
voucher,36
handset,6
unlimit,10
qualiti,2
loyalti,7
thfebtc,1
kingdom,1
httpimg,1
gbpweek,3
germani,3
lifetim,2
custcar,10
cashbal,7
current,12
rowwjhl,8
boxskch,2
homeown,3
tenerif,7
tcsstop,3
boltblu,1
attempt,22
savamob,13
channel,2
textand,1
announc,6
postcod,3
vodafon,6
premium,2
lapdanc,1
bedroom,1
forward,4
fantast,7
lowcost,1
drvgsto,1
offerth,2
helplin,2
premier,2
unclaim,1
thought,1
perfect,1
toppoli,1
subpoli,3
thmarch,1
getstop,2
chariti,9
mysteri,1
address,4
alreadi,1
lastest,1
januari,1
cheaper,2
million,1
matthew,1
compani,3
validhr,3
panason,1
kickoff,2
eastend,2
receipt,3
presley,1
surpris,5
chatter,1
request,2
lucozad,2
itcould,2
complet,2
jamster,2
phoenix,2
freeday,2
fantasi,11
croydon,7
textpod,2
msgrcvd,2
psychic,1
shortli,3
auction,16
british,2
dracula,2
munster,2
respons,2
monthli,1
suffici,1
connect,4
biggest,3
prebook,1
purchas,3
brother,1
hottest,1
prizeto,1
xxxxxxx,3
privaci,1
toclaim,6
freefon,4
envelop,2
wicklow,2
satisfi,2
qlynnbv,1
scammer,1
regular,1
respond,2
passion,1
mailbox,2
retriev,2
quizwin,2
duchess,2
cornwal,2
footbal,2
comukcm,1
opinion,1
brought,2
picsfre,2
keyword,1
fastest,2
stoptxt,4
stadium,1
instant,1
crazyin,1
everyon,2
presenc,1
realiti,2
stopbcm,1
minscal,1
classic,1
lookatm,2
lingeri,1
knicker,1
westlif,2
unbreak,2
unkempt,2
wirenet,1
mobcudb,1
highest,1
maximum,1
wildest,1
airport,1
concert,1
costmax,1
nowsend,1
dontcha,1
barkley,1
unsecur,1
definit,1
ladiesu,1
simpson,1
subject,1
spanish,2
breaker,1
graphic,1
bbdelux,1
dayfind,2
natalja,2
theredo,1
potenti,1
process,1
headset,1
norcorp,1
sexiest,1
coolmob,1
akonlon,1
continu,1
support,2
fgkslpo,1
benefit,1
advisor,1
tsunami,1
goldvik,1
deepest,1
darkest,1
wallpap,2
panther,1
sugabab,1
previou,1
compens,1
subsequ,1
ecstaci,1
datingi,1
coincid,1
grprize,1
station,1
chatlin,1
bailiff,1
receiv,37
ratetc,2
winner,16
custom,51
select,31
reward,10
entitl,8
latest,37
colour,18
camera,33
tsandc,2
urgent,63
lccltd,2
credit,19
messag,45
nation,12
trywal,1
rodger,1
jersey,1
hockey,1
cinema,3
matrix,3
follow,11
recent,5
review,4
divorc,1
servic,72
repres,10
simpli,3
verifi,3
flight,7
privat,18
caller,12
boxwrc,1
number,39
player,12
algarv,2
direct,10
txting,10
gravel,1
havent,1
annonc,1
arrang,2
friend,16
enough,2
august,2
optout,13
career,1
someon,14
secret,10
anytim,12
realli,1
genuin,3
answer,8
tmobil,3
upgrad,4
themob,3
newest,3
gossip,1
weekli,24
decemb,5
access,8
prepay,2
websit,1
cashin,7
rental,12
purpos,4
tenant,4
welcom,10
okmail,1
condit,5
wwwcom,2
ibhltd,3
tgxxrz,1
member,8
reciev,1
within,7
import,12
nichol,1
result,3
search,2
holder,6
helloy,1
immedi,5
listen,3
pmtmsg,2
realiz,1
around,2
tattoo,1
romant,1
summer,9
skilgm,3
commun,2
availa,1
cashto,2
either,10
outbid,1
shinco,1
profit,3
reveal,9
suppli,3
virgin,2
record,6
approx,1
xxxxxx,2
travel,2
stopsm,1
remind,2
mymobi,1
marley,1
stroke,1
nookii,1
filthi,2
polyph,3
inform,10
flower,3
compar,2
violet,2
wkentp,2
regist,6
survey,1
forget,2
notifi,1
market,1
sexual,1
energi,3
jordan,2
variou,1
global,1
hungri,2
origin,4
potter,2
reader,2
balanc,2
uptown,1
upload,2
bought,1
meetin,1
wwwbiz,1
strong,1
karaok,1
instal,1
artist,1
rtking,1
redeem,1
london,4
pictxt,1
action,4
lookin,1
daytim,1
ticket,3
hotmix,1
chosen,3
easter,1
bahama,4
conact,1
consol,2
comput,5
btooth,2
nearli,1
extrem,1
videop,1
detail,8
person,3
prompt,2
minapn,1
costpm,6
maxmin,6
provid,3
boxnqp,3
gender,2
wither,1
txtcom,1
offici,5
inclus,5
gettin,2
stoptx,1
street,2
nowski,2
stream,1
slomsg,1
sender,1
ccpmin,1
includ,2
tariff,6
luxuri,2
canari,2
island,2
burger,2
afraid,1
teenag,1
breath,2
finest,1
packag,1
expiri,1
slower,1
faster,1
maniac,1
improv,2
chrgdp,1
abroad,1
nokiap,1
better,1
cancel,5
adrian,1
vatian,1
mistak,1
promis,1
superb,1
center,2
granit,2
explos,2
nasdaq,2
symbol,2
stterm,1
boxcpm,1
believ,2
incred,2
doggin,1
nownyt,1
promot,1
tonesu,2
scalli,1
novemb,1
httptm,2
xafter,1
pictur,1
housew,2
season,1
gigolo,1
releas,1
agreen,1
amanda,1
regard,1
sticki,1
normal,1
repeat,1
format,1
featur,1
anonym,1
floppi,1
snappi,1
string,1
chatim,1
cannam,1
rayman,1
presid,1
warner,2
villag,2
farrel,1
margin,1
unicef,1
disast,1
codexx,1
natali,1
winawk,1
badass,1
resent,1
garden,2
toilet,1
stolen,1
sparkl,1
marvel,1
spider,1
entri,26
final,17
appli,30
still,7
prize,94
claim,115
valid,23
mobil,136
month,11
updat,19
chanc,29
pound,24
repli,110
pobox,30
click,5
thank,15
charg,23
pleas,57
nokia,72
devil,1
bxipw,3
advis,3
award,67
barbi,1
stuff,1
usher,2
speak,10
point,16
expir,18
today,36
match,15
locat,5
pmsgp,2
youll,1
randi,2
femal,1
local,5
invit,11
order,17
bangb,1
uniqu,2
dream,3
flyng,1
start,14
flirt,5
admir,10
ufind,8
think,14
music,20
offer,39
video,30
horni,7
chang,1
choos,10
singl,6
chart,3
phone,58
blind,2
check,4
sport,7
funki,1
smart,1
nowtc,1
minut,12
fanci,12
maxim,7
doubl,18
orang,28
refer,4
avail,3
price,18
first,6
lover,2
heart,3
mobno,2
yahoo,2
txtno,2
enter,16
close,4
wcnxx,4
refus,4
notic,3
activ,8
visit,7
ldnwh,3
slide,1
toxic,1
renew,3
boxqu,3
worth,13
unsub,7
spree,7
promo,2
morow,1
soire,1
daili,4
remov,7
everi,33
ppmsg,1
ngage,1
alert,5
email,2
tctxt,2
night,8
break,5
could,7
store,8
notif,1
login,5
extra,7
comuk,3
ibiza,4
await,27
world,2
hello,3
trial,1
dizze,1
racal,1
cheap,4
money,4
lucki,8
touch,1
enjoy,12
stori,1
dload,5
nolin,5
rentl,5
guess,7
wanna,10
bloke,1
tulip,2
peopl,3
xchat,5
sipix,6
digit,9
speed,1
howev,1
place,5
futur,4
readi,6
ralli,4
celeb,3
choic,3
deliv,4
txtin,4
ptone,5
lionm,2
lionp,2
harri,4
among,2
georg,2
sauci,3
photo,3
arsen,3
trebl,1
optin,1
clair,2
havin,1
borin,1
reach,5
tcllc,1
nyusa,1
hubbi,2
hotel,4
cumin,1
skill,1
along,1
brand,4
arriv,6
brows,1
olymp,1
ghost,2
allow,1
kinda,1
rgent,1
busti,1
marri,2
woman,1
sorri,3
mandi,1
fmyou,1
cruis,2
youto,1
space,2
invad,2
arcad,6
press,3
foley,2
excit,4
would,4
dirti,1
offic,1
right,3
total,2
hurri,1
prcvd,1
there,4
costa,7
helpp,3
yoher,1
great,11
nowus,1
stamp,2
drink,2
marsm,1
buffi,1
cross,3
bundl,1
goten,1
bewar,1
morro,1
heard,3
arrow,1
helen,1
dozen,1
buddi,1
spook,5
logop,3
score,3
resub,1
monoc,1
polyc,1
adult,4
nasti,1
thing,3
bitch,1
gotto,1
creat,1
wrote,1
sppok,1
aclpm,2
sprwm,1
tarot,1
knock,2
whose,1
europ,1
women,1
footi,1
super,3
littl,3
child,1
becom,1
outgo,1
bring,2
crazi,5
sound,2
drive,2
anyon,1
idiot,1
tiger,1
msgsp,2
agent,1
goodi,1
polyp,1
mmsto,1
fromm,4
msgwe,1
never,1
truli,3
gbpsm,1
begin,1
carli,1
untam,2
theyr,1
filth,1
round,1
learn,2
unabl,2
wamma,1
class,2
loung,1
blond,2
mtalk,2
pptxt,2
twink,1
iscom,2
stopc,1
found,1
xxxxx,1
gnarl,1
secur,1
tripl,1
xyour,1
chase,1
ignor,1
villa,1
oncal,1
bblue,1
indic,2
accid,2
block,1
delux,1
strip,1
polyh,2
barri,1
tonex,1
anoth,2
recpt,1
happi,1
proze,1
cfcaa,1
otbox,1
laugh,1
logon,1
capit,1
mquiz,1
loyal,2
chloe,1
smash,1
ptext,1
black,1
santa,4
colin,1
wkend,1
kiosk,1
henri,2
simpl,1
coupl,1
parti,1
train,1
diall,1
donat,2
asian,1
phoni,1
zebra,1
hoodi,1
error,1
queri,1
radio,1
wktxt,1
polic,1
ultim,1
inclu,1
india,1
free,219
wkli,14
comp,10
text,139
over,2
darl,2
week,63
word,22
back,23
like,13
send,69
valu,11
call,369
code,29
hour,6
cash,62
cost,28
pday,2
info,12
link,6
next,16
dont,22
miss,10
news,10
team,3
burn,1
sptv,2
wing,1
play,20
year,13
pass,6
bonu,21
trip,4
trav,2
hear,3
come,5
ampm,12
wait,19
gent,2
last,13
draw,39
show,35
live,30
oper,15
pmin,26
voda,5
quot,6
rate,29
quiz,13
soni,8
know,26
ansr,4
want,31
laid,3
real,13
sent,10
join,18
chat,45
noth,4
must,5
sexi,15
stop,116
frnd,6
goto,6
menu,1
find,23
meet,6
soon,3
horo,2
star,3
sign,2
date,27
even,7
name,19
penc,3
look,12
make,13
gift,21
nake,1
club,20
easi,13
card,4
rodd,1
unit,1
hide,1
game,25
tone,73
babe,10
keep,6
line,37
take,19
pmsg,16
rcvd,7
shag,3
xxuk,1
suzi,1
half,13
poli,26
true,3
help,23
logo,5
love,10
adam,2
land,18
vari,6
post,5
loan,5
juli,2
dear,16
dave,2
cwwx,4
moan,1
term,10
ipod,12
mono,4
yeah,1
slow,1
jamz,1
tcsc,1
ring,4
shop,14
xpwk,5
zouk,1
rose,1
ladi,2
kick,3
euro,8
kept,3
area,8
rstm,2
seem,1
cool,1
work,3
deck,1
jeri,1
best,9
well,7
pari,3
book,6
citi,3
ever,3
good,12
life,3
tune,1
pole,1
tell,18
mate,13
plyr,1
alfi,3
moon,3
need,11
song,3
recd,3
cust,4
care,7
five,3
talk,5
fall,1
posh,1
bird,1
chap,1
user,8
prod,1
asap,6
till,3
drop,2
crbt,2
paid,1
male,3
sale,4
peak,2
give,8
away,4
wtji,1
skxh,7
folk,1
tcrw,3
girl,10
java,5
lshb,2
lili,2
cant,5
elvi,1
onto,7
bore,4
swap,1
part,10
wish,2
mani,3
luck,6
cute,1
pack,2
door,1
feel,2
moro,1
jane,1
gold,1
lion,3
sang,1
bear,2
nick,1
pete,1
dick,1
fact,1
type,1
what,1
time,19
alon,3
nite,4
hope,4
luci,2
leav,2
jsco,2
high,3
vote,1
sing,2
stay,3
swss,2
eeri,5
rpli,5
titl,6
bill,7
lnli,1
mobi,4
msgp,2
sort,1
four,1
hard,3
tour,3
nowt,2
orig,2
hack,1
room,1
upto,2
xnet,1
abta,3
fone,6
wild,1
vpod,1
mind,3
lsbb,1
done,4
fifa,1
held,1
open,1
cast,1
boxm,1
lawu,1
txtx,1
flag,9
self,2
bray,2
home,2
ntwk,4
deal,1
also,3
avbl,1
bout,1
prem,1
dena,1
rude,3
lost,2
town,3
babi,2
ithi,1
page,1
read,1
hvae,1
mini,1
snap,1
amaz,3
norm,2
park,1
sara,1
txtp,1
sept,3
grow,2
jame,1
ehrr,1
king,3
larg,1
walk,1
dark,1
ymca,1
late,1
sinc,2
warm,2
youv,4
frog,1
porn,4
your,2
wood,1
exit,1
hunk,1
lone,1
xxsp,1
load,1
lord,1
lotr,2
june,1
clip,1
hava,1
thnq,1
lose,1
much,1
came,1
made,1
wont,3
save,3
orno,1
fink,1
movi,2
film,4
bank,2
issu,2
pick,6
cdgt,2
thur,2
sell,1
fast,1
rock,1
chik,1
blow,2
ofwd,2
ptxt,2
will,1
strt,1
html,1
mila,2
funk,2
skin,1
jock,1
cncl,1
glad,1
echo,1
dial,1
kath,1
goal,3
hero,1
gsoh,1
spam,1
band,1
cred,1
cmon,1
turn,1
left,1
mask,1
abus,1
polo,2
suit,2
busi,2
item,1
wine,1
cock,1
wife,1
utxt,1
mnth,2
golf,1
skip,1
swat,1
shot,1
yard,1
meal,1
dine,1
fund,1
xxxx,1
pmeg,1
pink,1
anim,1
fail,1
bulb,2
seed,2
mayb,2
erot,1
dept,1
lead,1
paus,1
ball,1
gsex,1
serv,1
mega,1
shit,1
hous,1
win,62
cup,5
tkt,4
may,7
txt,164
hey,5
fun,9
xxx,12
std,9
chg,2
rcv,4
six,3
csh,2
day,36
use,11
wap,10
msg,35
tri,38
new,69
red,1
ice,1
end,28
etc,7
mob,25
ken,1
mix,3
get,87
fml,2
ppm,44
inc,8
app,4
top,17
dvd,7
dog,12
eca,4
svc,1
age,16
luv,5
ltd,15
per,46
see,19
way,1
ari,1
sam,3
tnc,8
min,54
hot,15
pwk,3
box,45
hmv,11
pay,2
sim,5
fit,1
mth,18
fix,2
via,3
xma,15
gbp,5
xpw,1
eve,5
ave,3
bcm,3
ldn,10
sae,21
nyt,2
cha,2
pin,1
sub,10
web,2
tsc,20
guy,6
one,10
sun,1
opt,13
sue,2
old,2
sex,11
max,3
run,1
psm,2
muz,4
wwq,6
php,3
bid,8
qxj,4
zed,6
wed,2
vip,4
put,1
dob,1
ntt,10
mid,2
gay,6
lux,2
wid,5
zoe,1
dot,2
lot,2
ask,6
uve,7
mbp,2
log,7
rcd,1
let,5
fil,2
got,7
wrc,2
pic,21
exp,1
apr,1
nok,2
set,4
cum,5
biz,1
tom,1
pod,4
bbc,1
pmt,1
fri,2
plu,7
pro,1
jst,1
cam,2
hlp,2
wiv,2
wow,2
boy,2
els,1
ibh,2
buy,3
big,2
cro,1
eye,2
wet,2
gga,2
neo,1
ban,1
sic,1
ill,1
rpl,1
cnl,1
del,9
sol,7
aom,2
egf,1
men,3
egg,1
yer,4
eng,4
wwx,4
hol,3
med,3
eir,2
pix,3
ref,4
wan,4
upd,2
pub,2
nqp,1
sir,1
sky,4
wrg,1
slo,1
gmw,1
vid,1
ten,1
hit,3
fan,1
str,2
maq,1
bin,1
mad,2
yet,2
ton,1
mat,1
feb,1
vat,1
rct,1
rgd,1
met,1
beg,1
sat,2
mfl,1
tfp,1
sxi,1
nat,3
row,1
blu,2
god,1
ive,1
cst,1
bad,1
tip,1
ukp,1
die,1
tel,1
gpr,1
kit,1
oja,1
shi,1
bob,1
ben,1
adp,1
sec,2
wot,1
man,1
rec,1
rip,1
key,1
mre,1
ami,1
due,2
vco,1
ree,1
mxi,2
two,1
psp,1
wat,1
cop,1
wcn,1
sed,1
ler,1
giv,1
fa,4
st,30
id,3
tb,1
ok,5
kl,2
co,5
hl,8
tc,50
ur,144
eg,12
uk,25
ye,21
sm,26
ac,4
pm,10
di,2
ls,2
aj,2
hr,22
bt,5
nt,1
go,37
yr,20
im,13
pl,11
tv,6
th,5
cd,13
po,30
mk,1
wt,1
uz,3
cc,6
rp,1
ad,4
gb,7
mp,6
nd,20
cs,14
pg,1
us,8
ag,2
pc,6
sw,2
ss,2
gr,7
wk,24
hi,16
da,1
uu,3
mm,1
rg,1
jx,1
cm,4
ae,4
ms,3
sk,3
wp,3
ta,1
hp,1
yf,1
wu,3
an,6
em,1
oz,2
le,2
xx,5
cr,7
wb,7
bx,6
vu,2
mr,2
dp,1
yo,1
er,1
ip,5
bu,1
wc,1
mf,1
ya,1
no,1
sp,3
wa,2
px,1
ph,1
wq,1
lp,2
ab,1
sf,1
pt,2
ts,3
yt,1
oh,1
la,2
ez,1
ig,1
wj,2
mg,1
ea,1
ws,1
zf,1
ou,1
sn,1
nr,1
zs,1
pw,1
xt,1
v,6
u,155
r,23
c,23
k,14
q,4
p,73
f,10
e,7
g,11
x,12
b,21
n,9
w,1
j,1
